id,title,description,severity,status,created_at,updated_at,resolved_at,affected_services,assignee,category
INC043,Container registry unavailable,Container registry unavailable affecting production environment with intermittent failures,high,investigating,2026-01-14T18:45:56.376226,,,notification-service|frontend,devops-team,Infrastructure
INC044,Certificate authority unreachable,Certificate authority unreachable affecting production environment with consistent failures,critical,resolved,2026-01-19T17:36:56.376226,2026-01-21T12:41:56.376226,2026-01-19T19:10:56.376226,read-replica|ci-cd,observability-team,Security
INC045,Certificate authority unreachable,Certificate authority unreachable affecting production environment,medium,resolved,2026-01-11T02:17:56.376226,2026-01-11T15:26:56.376226,2026-01-11T08:10:56.376226,user-service,platform-team,Security
INC046,Load balancer health check failing,Load balancer health check failing affecting production environment with intermittent failures,critical,resolved,2026-01-18T16:50:56.376226,2026-01-20T01:15:56.376226,2026-01-18T19:54:56.376226,payment-service,observability-team,Infrastructure
INC047,Database connection timeout,Database connection timeout affecting production environment with intermittent failures,critical,open,2026-01-18T10:55:56.376226,,,reporting-service,platform-team,Database
INC048,Memory leak in oauth-provider service,Memory leak in oauth-provider service affecting production environment,critical,resolved,2026-01-12T09:05:56.376226,2026-01-14T09:02:56.376226,2026-01-12T16:53:56.376226,frontend|load-balancer|reporting-service,identity-team,Application
INC049,Kubernetes cluster node failure,Kubernetes cluster node failure affecting production environment with consistent failures,critical,resolved,2026-01-11T10:57:56.376226,2026-01-13T04:12:56.376226,2026-01-11T11:27:56.376226,oauth-provider|api-gateway,security-team,Infrastructure
INC050,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,high,resolved,2026-01-07T22:35:56.376226,2026-01-08T13:59:56.376226,2026-01-08T00:11:56.376226,payment-service|fluentd|notification-service,api-team,Monitoring
INC051,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,critical,investigating,2026-01-20T07:50:56.376226,,,fluentd|auth-service|kubernetes,devops-team,Monitoring
INC052,Container registry unavailable,Container registry unavailable affecting production environment,high,investigating,2026-01-19T07:20:56.376226,,,reporting-service|elasticsearch,dba-team,Infrastructure
INC053,Certificate authority unreachable,Certificate authority unreachable affecting production environment with consistent failures,medium,investigating,2026-01-13T09:27:56.376226,,,search-service|ci-cd,observability-team,Security
INC054,Container registry unavailable,Container registry unavailable affecting production environment with consistent failures,medium,resolved,2026-01-14T19:24:56.376226,2026-01-15T22:01:56.376226,2026-01-15T00:57:56.376226,ci-cd|auth-service|api-gateway,observability-team,Infrastructure
INC055,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,critical,open,2026-01-13T04:39:56.376226,,,search-service|logging-service,search-team,Monitoring
INC056,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment with consistent failures,high,open,2026-01-13T19:13:56.376226,,,user-service|product-service|email-service,observability-team,Cache
INC057,Payment service 500 errors,Payment service 500 errors affecting production environment with sporadic failures,low,open,2026-01-10T01:19:56.376226,,,fulfillment-service,payments-team,Payments
INC058,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,low,resolved,2026-01-10T09:10:56.376226,2026-01-11T02:59:56.376226,2026-01-10T11:48:56.376226,checkout-service|fulfillment-service,devops-team,Monitoring
INC059,Memory leak in logging service,Memory leak in logging service affecting production environment with consistent failures,low,resolved,2026-01-07T04:02:56.376226,2026-01-09T01:00:56.376226,2026-01-07T14:29:56.376226,cdn|fluentd,platform-team,Application
INC060,Payment service 500 errors,Payment service 500 errors affecting production environment with sporadic failures,medium,open,2026-01-18T04:20:56.376226,,,fulfillment-service|rate-limiter|order-service,devops-team,Payments
INC061,API response latency spike,API response latency spike affecting production environment,critical,resolved,2026-01-11T19:20:56.376226,2026-01-12T23:12:56.376226,2026-01-12T01:40:56.376226,order-service|frontend,infra-team,Network
INC062,Rate limiting misconfiguration,Rate limiting misconfiguration affecting production environment with consistent failures,medium,resolved,2026-01-15T14:43:56.376226,2026-01-17T07:34:56.376226,2026-01-16T05:53:56.376226,logging-service|database|oauth-provider,search-team,Application
INC063,Service mesh configuration error,Service mesh configuration error affecting production environment,medium,open,2026-01-11T08:41:56.376226,,,rabbitmq|fulfillment-service,observability-team,Infrastructure
INC064,Container registry unavailable,Container registry unavailable affecting production environment,critical,investigating,2026-01-10T06:17:56.376226,,,search-service|cache-service,devops-team,Infrastructure
INC065,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment with sporadic failures,medium,open,2026-01-10T17:52:56.376226,,,reporting-service|logging-service,platform-team,Cache
INC066,Load balancer health check failing,Load balancer health check failing affecting production environment with consistent failures,critical,open,2026-01-10T07:10:56.376226,,,session-service,observability-team,Infrastructure
INC067,Service mesh configuration error,Service mesh configuration error affecting production environment,high,investigating,2026-01-18T11:47:56.376226,,,fluentd|oauth-provider,security-team,Infrastructure
INC068,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment,low,resolved,2026-01-10T04:33:56.376226,2026-01-12T05:07:56.376226,2026-01-10T06:56:56.376226,checkout-service|notification-service|elasticsearch,identity-team,Security
INC069,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment with sporadic failures,high,open,2026-01-20T00:44:56.376226,,,product-service,payments-team,Cache
INC070,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment,medium,investigating,2026-01-06T20:01:56.376226,,,fluentd|payment-service,observability-team,Security
INC071,Load balancer health check failing,Load balancer health check failing affecting production environment,low,resolved,2026-01-11T09:56:56.376226,2026-01-12T15:17:56.376226,2026-01-11T14:38:56.376226,user-service,security-team,Infrastructure
INC072,Load balancer health check failing,Load balancer health check failing affecting production environment,low,investigating,2026-01-13T21:02:56.376226,,,ci-cd|user-service|payment-service,payments-team,Infrastructure
INC073,Service mesh configuration error,Service mesh configuration error affecting production environment with intermittent failures,medium,open,2026-01-15T08:04:56.376226,,,rate-limiter|fulfillment-service|email-service,dba-team,Infrastructure
INC074,Container registry unavailable,Container registry unavailable affecting production environment,critical,resolved,2026-01-11T13:05:56.376226,2026-01-11T17:44:56.376226,2026-01-12T05:57:56.376226,order-service|logging-service|notification-service,observability-team,Infrastructure
INC075,Redis cache connection failures,Redis cache connection failures affecting production environment,low,open,2026-01-10T00:01:56.376226,,,checkout-service,ops-team,Cache
INC076,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,critical,investigating,2026-01-11T16:44:56.376226,,,kubernetes|oauth-provider|api-gateway,observability-team,Monitoring
INC077,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment with sporadic failures,medium,investigating,2026-01-08T11:40:56.376226,,,payment-service|cache-service|load-balancer,payments-team,Monitoring
INC078,Payment service 500 errors,Payment service 500 errors affecting production environment,high,resolved,2026-01-18T13:24:56.376226,2026-01-19T08:52:56.376226,2026-01-18T16:40:56.376226,oauth-provider,security-team,Payments
INC079,Container registry unavailable,Container registry unavailable affecting production environment with sporadic failures,critical,investigating,2026-01-07T08:13:56.376226,,,fulfillment-service|cache-service,ops-team,Infrastructure
INC080,Payment service 500 errors,Payment service 500 errors affecting production environment,low,resolved,2026-01-20T03:02:56.376226,2026-01-20T06:50:56.376226,2026-01-20T03:42:56.376226,database,dba-team,Payments
INC081,Rate limiting misconfiguration,Rate limiting misconfiguration affecting production environment with intermittent failures,critical,resolved,2026-01-14T05:52:56.376226,2026-01-15T04:12:56.376226,2026-01-14T15:34:56.376226,order-service|kubernetes|checkout-service,infra-team,Application
INC082,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with consistent failures,critical,resolved,2026-01-08T04:42:56.376226,2026-01-09T01:49:56.376226,2026-01-08T05:54:56.376226,kubernetes|read-replica,ops-team,Monitoring
INC083,Network latency to oauth-provider region,Network latency to oauth-provider region affecting production environment,medium,resolved,2026-01-12T14:14:56.376226,2026-01-13T22:54:56.376226,2026-01-12T22:13:56.376226,logging-service|user-service,platform-team,Network
INC084,CDN cache invalidation stuck,CDN cache invalidation stuck affecting production environment with consistent failures,critical,investigating,2026-01-17T14:17:56.376226,,,fluentd,payments-team,Cache
INC085,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with sporadic failures,critical,open,2026-01-19T21:55:56.376226,,,container-registry,payments-team,Security
INC086,Load balancer health check failing,Load balancer health check failing affecting production environment with consistent failures,high,investigating,2026-01-20T09:56:56.376226,,,oauth-provider,dba-team,Infrastructure
INC087,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment,medium,open,2026-01-11T07:47:56.376226,,,cache-service|load-balancer|auth-service,security-team,Security
INC088,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with sporadic failures,critical,investigating,2026-01-12T12:14:56.376226,,,cdn|oauth-provider|search-service,platform-team,Security
INC089,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment with intermittent failures,critical,investigating,2026-01-21T06:50:56.376226,,,rate-limiter|load-balancer|container-registry,payments-team,Monitoring
INC090,Load balancer health check failing,Load balancer health check failing affecting production environment with intermittent failures,high,open,2026-01-20T08:32:56.376226,,,oauth-provider|auth-service|elasticsearch,payments-team,Infrastructure
INC091,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with intermittent failures,low,investigating,2026-01-19T02:47:56.376226,,,fluentd|cdn|container-registry,api-team,Monitoring
INC092,Database replica lag critical,Database replica lag critical affecting production environment with sporadic failures,critical,resolved,2026-01-14T11:28:56.376226,2026-01-16T03:32:56.376226,2026-01-14T12:48:56.376226,container-registry,observability-team,Database
INC093,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with sporadic failures,low,investigating,2026-01-08T15:11:56.376226,,,oauth-provider,payments-team,Security
INC094,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with intermittent failures,high,open,2026-01-11T05:49:56.376226,,,payment-service|email-service,dba-team,Security
INC095,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with intermittent failures,medium,open,2026-01-08T14:21:56.376226,,,fulfillment-service|ci-cd,platform-team,Monitoring
INC096,Load balancer health check failing,Load balancer health check failing affecting production environment with intermittent failures,medium,investigating,2026-01-17T02:55:56.376226,,,ci-cd|auth-service,identity-team,Infrastructure
INC097,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with intermittent failures,low,investigating,2026-01-12T12:45:56.376226,,,frontend|fluentd|cache-service,identity-team,Security
INC098,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment,critical,investigating,2026-01-13T12:48:56.376226,,,session-service|fluentd|auth-service,observability-team,Security
INC099,Container registry unavailable,Container registry unavailable affecting production environment,low,resolved,2026-01-18T10:19:56.376226,2026-01-19T06:08:56.376226,2026-01-18T11:34:56.376226,fulfillment-service,infra-team,Infrastructure
INC100,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment with sporadic failures,high,resolved,2026-01-19T18:15:56.376226,2026-01-21T13:58:56.376226,2026-01-19T18:58:56.376226,container-registry,api-team,Monitoring
INC101,API response latency spike,API response latency spike affecting production environment,critical,resolved,2026-01-08T03:46:56.376226,2026-01-10T04:12:56.376226,2026-01-08T13:33:56.376226,notification-service,payments-team,Network
INC102,Network latency to product region,Network latency to product region affecting production environment with consistent failures,medium,investigating,2026-01-21T10:17:56.376226,,,elasticsearch|kubernetes,infra-team,Network
INC103,Memory leak in oauth-provider service,Memory leak in oauth-provider service affecting production environment with intermittent failures,medium,resolved,2026-01-18T15:51:56.376226,2026-01-20T04:14:56.376226,2026-01-18T19:55:56.376226,rate-limiter,search-team,Application
INC104,Database connection timeout,Database connection timeout affecting production environment,low,investigating,2026-01-12T16:13:56.376226,,,cache-service|rabbitmq|cdn,observability-team,Database
INC105,Message queue backlog growing,Message queue backlog growing affecting production environment,medium,investigating,2026-01-07T14:22:56.376226,,,search-service|fulfillment-service|email-service,observability-team,Monitoring
INC106,Payment service 500 errors,Payment service 500 errors affecting production environment with consistent failures,high,resolved,2026-01-12T21:34:56.376226,2026-01-13T00:36:56.376226,2026-01-12T23:07:56.376226,database|order-service,api-team,Payments
INC107,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment with intermittent failures,critical,resolved,2026-01-18T11:52:56.376226,2026-01-20T02:39:56.376226,2026-01-18T16:57:56.376226,payment-service|frontend|container-registry,api-team,Monitoring
INC108,Load balancer health check failing,Load balancer health check failing affecting production environment with consistent failures,low,resolved,2026-01-12T00:54:56.376226,2026-01-13T06:09:56.376226,2026-01-12T11:44:56.376226,order-service|ci-cd,infra-team,Infrastructure
INC109,Network latency to container-registry region,Network latency to container-registry region affecting production environment,critical,investigating,2026-01-08T08:31:56.376226,,,notification-service|container-registry|fulfillment-service,ops-team,Infrastructure
INC110,API response latency spike,API response latency spike affecting production environment with intermittent failures,medium,resolved,2026-01-09T21:19:56.376226,2026-01-11T09:32:56.376226,2026-01-10T08:36:56.376226,notification-service|load-balancer|kubernetes,platform-team,Network
INC111,Database replica lag critical,Database replica lag critical affecting production environment with sporadic failures,low,investigating,2026-01-19T22:34:56.376226,,,cache-service|rate-limiter|checkout-service,api-team,Database
INC112,Database connection timeout,Database connection timeout affecting production environment,high,open,2026-01-16T04:27:56.376226,,,cache-service,ops-team,Database
INC113,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment with sporadic failures,low,resolved,2026-01-08T09:54:56.376226,2026-01-09T10:26:56.376226,2026-01-08T12:46:56.376226,order-service|oauth-provider|read-replica,platform-team,Security
INC114,Certificate authority unreachable,Certificate authority unreachable affecting production environment,high,investigating,2026-01-16T18:29:56.376226,,,kubernetes|cdn,search-team,Security
INC115,Memory leak in database service,Memory leak in database service affecting production environment with consistent failures,low,open,2026-01-12T13:35:56.376226,,,payment-service,security-team,Database
INC116,Certificate authority unreachable,Certificate authority unreachable affecting production environment with sporadic failures,high,investigating,2026-01-16T10:44:56.376226,,,read-replica|fulfillment-service,search-team,Security
INC117,Memory leak in rate-limiter service,Memory leak in rate-limiter service affecting production environment with sporadic failures,medium,investigating,2026-01-14T01:52:56.376226,,,load-balancer|oauth-provider,search-team,Application
INC118,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment with consistent failures,critical,investigating,2026-01-09T16:25:56.376226,,,api-gateway|load-balancer,api-team,Monitoring
INC119,Payment service 500 errors,Payment service 500 errors affecting production environment,high,open,2026-01-14T20:03:56.376226,,,reporting-service|search-service|ci-cd,api-team,Payments
INC120,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,critical,resolved,2026-01-11T13:45:56.376226,2026-01-12T12:51:56.376226,2026-01-11T14:46:56.376226,read-replica|notification-service|payment-service,observability-team,Monitoring
INC121,Load balancer health check failing,Load balancer health check failing affecting production environment,low,investigating,2026-01-20T11:49:56.376226,,,logging-service,security-team,Infrastructure
INC122,Service mesh configuration error,Service mesh configuration error affecting production environment,critical,resolved,2026-01-16T16:07:56.376226,2026-01-18T04:08:56.376226,2026-01-16T22:59:56.376226,ci-cd|load-balancer|fluentd,security-team,Infrastructure
INC123,Database connection timeout,Database connection timeout affecting production environment,high,investigating,2026-01-11T18:37:56.376226,,,rabbitmq,observability-team,Database
INC124,Container registry unavailable,Container registry unavailable affecting production environment,low,open,2026-01-18T10:39:56.376226,,,frontend|oauth-provider,infra-team,Infrastructure
INC125,Kubernetes cluster node failure,Kubernetes cluster node failure affecting production environment,high,resolved,2026-01-15T21:22:56.376226,2026-01-16T01:31:56.376226,2026-01-16T01:04:56.376226,logging-service,devops-team,Infrastructure
INC126,API response latency spike,API response latency spike affecting production environment with consistent failures,critical,resolved,2026-01-13T02:39:56.376226,2026-01-14T11:46:56.376226,2026-01-13T06:05:56.376226,frontend|order-service,security-team,Network
INC127,Service mesh configuration error,Service mesh configuration error affecting production environment,high,open,2026-01-10T07:04:56.376226,,,auth-service,platform-team,Infrastructure
INC128,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment with intermittent failures,high,investigating,2026-01-11T21:26:56.376226,,,elasticsearch|frontend,payments-team,Security
INC129,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment,medium,resolved,2026-01-15T16:17:56.376226,2026-01-16T15:21:56.376226,2026-01-15T21:31:56.376226,kubernetes|elasticsearch,ops-team,Security
INC130,Log aggregation pipeline broken,Log aggregation pipeline broken affecting production environment,low,investigating,2026-01-16T08:02:56.376226,,,fluentd|container-registry,search-team,Monitoring
INC131,Third-party OAuth provider timeout,Third-party OAuth provider timeout affecting production environment,low,investigating,2026-01-09T13:55:56.376226,,,product-service|api-gateway|frontend,api-team,Security
INC132,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,critical,resolved,2026-01-20T04:13:56.376226,2026-01-21T02:27:56.376226,2026-01-20T06:09:56.376226,logging-service|checkout-service,api-team,Monitoring
INC133,Disk space critical on container-registry nodes,Disk space critical on container-registry nodes affecting production environment,medium,investigating,2026-01-12T18:18:56.376226,,,load-balancer|payment-service|email-service,api-team,Infrastructure
INC134,SSL certificate expiration warning,SSL certificate expiration warning affecting production environment,medium,resolved,2026-01-09T14:30:56.376226,2026-01-10T03:19:56.376226,2026-01-09T17:46:56.376226,database|oauth-provider|logging-service,devops-team,Security
INC135,Service mesh configuration error,Service mesh configuration error affecting production environment,high,resolved,2026-01-11T22:54:56.376226,2026-01-12T04:24:56.376226,2026-01-12T00:39:56.376226,container-registry|session-service,security-team,Infrastructure
INC136,Service mesh configuration error,Service mesh configuration error affecting production environment,low,investigating,2026-01-14T08:28:56.376226,,,product-service,security-team,Infrastructure
INC137,Payment service 500 errors,Payment service 500 errors affecting production environment with intermittent failures,critical,resolved,2026-01-17T19:54:56.376226,2026-01-19T09:35:56.376226,2026-01-17T21:58:56.376226,search-service,devops-team,Payments
INC138,Load balancer health check failing,Load balancer health check failing affecting production environment with intermittent failures,critical,resolved,2026-01-17T20:58:56.376226,2026-01-19T15:09:56.376226,2026-01-17T23:13:56.376226,email-service,identity-team,Infrastructure
INC139,Rate limiting misconfiguration,Rate limiting misconfiguration affecting production environment with sporadic failures,medium,investigating,2026-01-12T03:50:56.376226,,,logging-service|search-service,observability-team,Application
INC140,Certificate authority unreachable,Certificate authority unreachable affecting production environment,high,open,2026-01-11T22:01:56.376226,,,cdn|session-service|cache-service,observability-team,Security
INC141,Certificate authority unreachable,Certificate authority unreachable affecting production environment with consistent failures,low,resolved,2026-01-16T23:24:56.376226,2026-01-17T22:43:56.376226,2026-01-16T23:57:56.376226,fluentd|ci-cd|cdn,payments-team,Security
INC142,Certificate authority unreachable,Certificate authority unreachable affecting production environment with intermittent failures,high,resolved,2026-01-13T15:16:56.376226,2026-01-14T14:08:56.376226,2026-01-13T16:18:56.376226,ci-cd,observability-team,Security
INC143,Disk space critical on api-gateway nodes,Disk space critical on api-gateway nodes affecting production environment with consistent failures,high,open,2026-01-12T03:37:56.376226,,,search-service,identity-team,Storage
INC144,Redis cache connection failures,Redis cache connection failures affecting production environment,medium,open,2026-01-08T04:20:56.376226,,,read-replica,dba-team,Cache
INC145,Disk space critical on user nodes,Disk space critical on user nodes affecting production environment with sporadic failures,medium,resolved,2026-01-12T22:36:56.376226,2026-01-13T11:29:56.376226,2026-01-13T00:55:56.376226,logging-service|fulfillment-service|rate-limiter,payments-team,Storage
INC146,Rate limiting misconfiguration,Rate limiting misconfiguration affecting production environment,high,resolved,2026-01-18T01:54:56.376226,2026-01-19T18:12:56.376226,2026-01-19T01:10:56.376226,rate-limiter|oauth-provider|email-service,dba-team,Application
INC147,Elasticsearch indexing delays,Elasticsearch indexing delays affecting production environment,critical,resolved,2026-01-14T09:15:56.376226,2026-01-15T05:04:56.376226,2026-01-14T12:31:56.376226,read-replica|frontend,payments-team,Monitoring
INC148,Redis cache connection failures,Redis cache connection failures affecting production environment with intermittent failures,high,open,2026-01-17T10:21:56.376226,,,reporting-service|order-service,dba-team,Cache
INC149,Memory leak in session service,Memory leak in session service affecting production environment,medium,investigating,2026-01-14T10:35:56.376226,,,api-gateway|email-service,identity-team,Application
