incident_id,ticket_id,type,resolution,description,source,similarity_score,resolved_by_team
INC034,SNOW029,similar_incident,Fixed 8 timeout by increasing connection timeout to 87s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.89,payments-team
INC034,JIRA-034,similar_incident,Restarted 18 pods and cleared corrupted cache layer,,jira,0.94,observability-team
INC034,SNOW030,related_change,,Heavy batch job scheduled during peak hours,servicenow,,search-team
INC035,JIRA-035,similar_incident,Fixed 17 timeout by increasing connection timeout to 54s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.91,dba-team
INC036,JIRA-036,similar_incident,Fixed 20 timeout by increasing connection timeout to 89s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.9,identity-team
INC036,JIRA-037,related_change,,Rate limiting threshold adjustment for new API tier,jira,,payments-team
INC037,SNOW031,similar_incident,Increased connection pool size from 10 to 62 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.7,observability-team
INC037,SNOW032,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.84,security-team
INC037,JIRA-038,similar_incident,Fixed 18 timeout by increasing connection timeout to 34s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.77,search-team
INC038,SNOW033,similar_incident,Restarted 11 pods and cleared corrupted cache layer,,servicenow,0.81,devops-team
INC039,SNOW034,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 6 to 88 consumers. Backlog cleared in 10 hours.,,servicenow,0.66,devops-team
INC039,JIRA-039,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 7 to 90 consumers. Backlog cleared in 8 hours.,,jira,0.72,observability-team
INC039,JIRA-040,similar_incident,Restarted 13 pods and cleared corrupted cache layer,,jira,0.77,dba-team
INC040,SNOW035,similar_incident,Increased connection pool size from 12 to 87 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.66,ops-team
INC041,JIRA-041,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.9,platform-team
INC042,JIRA-042,similar_incident,Increased connection pool size from 14 to 36 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.85,dba-team
INC042,JIRA-043,similar_incident,Rolled back to previous 17 version to restore functionality,,jira,0.86,payments-team
INC042,SNOW036,related_change,,Heavy batch job scheduled during peak hours,servicenow,,ops-team
INC043,JIRA-044,similar_incident,Increased connection pool size from 8 to 46 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.78,infra-team
INC044,SNOW037,similar_incident,Fixed 16 timeout by increasing connection timeout to 42s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.85,observability-team
INC044,SNOW038,similar_incident,Scaled up 5 instances from 60 to 3 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 3s to servicems average.,,servicenow,0.89,payments-team
INC045,SNOW039,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.89,devops-team
INC045,JIRA-045,similar_incident,Restarted 13 pods and cleared corrupted cache layer,,jira,0.77,identity-team
INC046,JIRA-046,similar_incident,Increased connection pool size from 7 to 38 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.81,ops-team
INC047,SNOW040,similar_incident,Restarted 16 pods and cleared corrupted cache layer,,servicenow,0.9,security-team
INC047,JIRA-047,similar_incident,Fixed 11 timeout by increasing connection timeout to 91s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.89,infra-team
INC047,JIRA-048,related_change,,Heavy batch job scheduled during peak hours,jira,,payments-team
INC048,SNOW041,similar_incident,Increased connection pool size from 6 to 87 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.66,dba-team
INC048,JIRA-049,related_change,,Redis cluster scaling performed last week,jira,,dba-team
INC049,SNOW042,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 19 minutes.,,servicenow,0.82,search-team
INC049,SNOW043,similar_incident,Restarted 20 pods and cleared corrupted cache layer,,servicenow,0.9,dba-team
INC049,JIRA-050,similar_incident,Implemented 18 for automatic failover. Configured 67-node cluster with quorum of 2. Tested failover scenarios successfully.,,jira,0.86,search-team
INC050,JIRA-051,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 9 to 65 consumers. Backlog cleared in 7 hours.,,jira,0.76,dba-team
INC051,JIRA-052,similar_incident,Implemented 18 for automatic failover. Configured 32-node cluster with quorum of 2. Tested failover scenarios successfully.,,jira,0.87,payments-team
INC051,SNOW044,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 8 minutes.,,servicenow,0.71,api-team
INC052,SNOW045,similar_incident,Rolled back to previous 6 version to restore functionality,,servicenow,0.9,api-team
INC053,JIRA-053,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.85,search-team
INC053,SNOW046,related_change,,Registry storage migration performed,servicenow,,payments-team
INC053,SNOW047,related_change,,Rate limiting threshold adjustment for new API tier,servicenow,,platform-team
INC054,SNOW048,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 13 minutes.,,servicenow,0.65,payments-team
INC054,JIRA-054,similar_incident,Restarted 16 pods and cleared corrupted cache layer,,jira,0.83,payments-team
INC055,SNOW049,similar_incident,Scaled up 15 instances from 51 to 4 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 5s to Redisms average.,,servicenow,0.9,platform-team
INC055,JIRA-055,similar_incident,Fixed 10 timeout by increasing connection timeout to 95s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.92,infra-team
INC055,SNOW050,related_change,,CDN configuration update for cache TTL,servicenow,,ops-team
INC056,SNOW051,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 11 to 79 consumers. Backlog cleared in 5 hours.,,servicenow,0.69,identity-team
INC057,JIRA-056,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.74,ops-team
INC057,SNOW052,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 13 to 93 consumers. Backlog cleared in 2 hours.,,servicenow,0.71,search-team
INC057,JIRA-057,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.71,search-team
INC058,SNOW053,similar_incident,Rolled back to previous 9 version to restore functionality,,servicenow,0.86,payments-team
INC058,SNOW054,similar_incident,Implemented 8 for automatic failover. Configured 30-node cluster with quorum of 5. Tested failover scenarios successfully.,,servicenow,0.68,identity-team
INC058,SNOW055,related_change,,Payment provider SDK upgrade deployed yesterday,servicenow,,search-team
INC059,SNOW056,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 15 minutes.,,servicenow,0.86,ops-team
INC060,SNOW057,similar_incident,Rolled back to previous 17 version to restore functionality,,servicenow,0.94,identity-team
INC060,JIRA-058,similar_incident,Implemented 5 for automatic failover. Configured 85-node cluster with quorum of 9. Tested failover scenarios successfully.,,jira,0.88,api-team
INC060,JIRA-059,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 8 to 66 consumers. Backlog cleared in 4 hours.,,jira,0.78,payments-team
INC061,JIRA-060,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.67,identity-team
INC062,JIRA-061,similar_incident,Implemented 12 for automatic failover. Configured 87-node cluster with quorum of 5. Tested failover scenarios successfully.,,jira,0.73,infra-team
INC062,JIRA-062,similar_incident,Restarted 9 pods and cleared corrupted cache layer,,jira,0.96,observability-team
INC063,SNOW058,similar_incident,Scaled up 13 instances from 77 to 10 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 3s to Redisms average.,,servicenow,0.92,payments-team
INC063,JIRA-063,related_change,,Database migration completed last week,jira,,platform-team
INC063,SNOW059,similar_incident,Rolled back to previous 14 version to restore functionality,,servicenow,0.9,payments-team
INC064,SNOW060,similar_incident,Restarted 5 pods and cleared corrupted cache layer,,servicenow,0.83,search-team
INC064,SNOW061,related_change,,Added new notification templates last sprint,servicenow,,ops-team
INC064,SNOW062,similar_incident,Implemented 18 for automatic failover. Configured 62-node cluster with quorum of 6. Tested failover scenarios successfully.,,servicenow,0.77,ops-team
INC065,JIRA-064,similar_incident,Scaled up 17 instances from 90 to 5 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 2s to gatewayms average.,,jira,0.92,dba-team
INC065,JIRA-065,related_change,,Registry storage migration performed,jira,,devops-team
INC065,SNOW063,related_change,,Elasticsearch cluster version upgrade deployed,servicenow,,observability-team
INC066,JIRA-066,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.66,security-team
INC067,SNOW064,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.93,dba-team
INC068,JIRA-067,similar_incident,Increased connection pool size from 11 to 89 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.86,platform-team
INC069,JIRA-068,similar_incident,Fixed 12 timeout by increasing connection timeout to 57s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.73,identity-team
INC069,JIRA-069,similar_incident,Implemented 19 for automatic failover. Configured 56-node cluster with quorum of 3. Tested failover scenarios successfully.,,jira,0.69,dba-team
INC069,JIRA-070,similar_incident,Increased connection pool size from 20 to 65 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.9,infra-team
INC070,JIRA-071,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 8 minutes.,,jira,0.74,dba-team
INC071,JIRA-072,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 19 minutes.,,jira,0.86,payments-team
INC071,SNOW065,similar_incident,Fixed 12 timeout by increasing connection timeout to 35s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.69,dba-team
INC072,SNOW066,similar_incident,Restarted 12 pods and cleared corrupted cache layer,,servicenow,0.84,observability-team
INC072,JIRA-073,related_change,,Payment provider SDK upgrade deployed yesterday,jira,,dba-team
INC073,SNOW067,similar_incident,Fixed 20 timeout by increasing connection timeout to 78s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.82,api-team
INC073,JIRA-074,similar_incident,Scaled up 10 instances from 57 to 3 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 2s to databasems average.,,jira,0.78,platform-team
INC073,SNOW068,related_change,,New order notification feature deployed,servicenow,,api-team
INC074,JIRA-075,similar_incident,Restarted 10 pods and cleared corrupted cache layer,,jira,0.84,devops-team
INC074,JIRA-076,related_change,,Node capacity upgrade scheduled for maintenance window,jira,,dba-team
INC074,JIRA-077,similar_incident,Increased connection pool size from 11 to 81 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.94,ops-team
INC075,SNOW069,similar_incident,Fixed 6 timeout by increasing connection timeout to 59s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.77,payments-team
INC075,SNOW070,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.71,platform-team
INC075,SNOW071,similar_incident,Rolled back to previous 6 version to restore functionality,,servicenow,0.82,observability-team
INC076,SNOW072,similar_incident,Implemented 13 for automatic failover. Configured 72-node cluster with quorum of 10. Tested failover scenarios successfully.,,servicenow,0.78,observability-team
INC076,SNOW073,similar_incident,Rolled back to previous 7 version to restore functionality,,servicenow,0.78,observability-team
INC077,SNOW074,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 19 minutes.,,servicenow,0.89,security-team
INC077,SNOW075,similar_incident,Increased connection pool size from 7 to 71 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,servicenow,0.86,identity-team
INC077,JIRA-078,similar_incident,Restarted 16 pods and cleared corrupted cache layer,,jira,0.77,ops-team
INC078,JIRA-079,similar_incident,Implemented 13 for automatic failover. Configured 50-node cluster with quorum of 3. Tested failover scenarios successfully.,,jira,0.86,devops-team
INC079,JIRA-080,similar_incident,Implemented 20 for automatic failover. Configured 96-node cluster with quorum of 3. Tested failover scenarios successfully.,,jira,0.81,platform-team
INC079,SNOW076,related_change,,Redis cluster scaling performed last week,servicenow,,payments-team
INC079,JIRA-081,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.78,infra-team
INC080,SNOW077,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.67,api-team
INC081,JIRA-082,similar_incident,Rolled back to previous 17 version to restore functionality,,jira,0.74,security-team
INC081,SNOW078,related_change,,Redis cluster scaling performed last week,servicenow,,security-team
INC081,SNOW079,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 9 to 64 consumers. Backlog cleared in 10 hours.,,servicenow,0.86,ops-team
INC082,JIRA-083,similar_incident,Fixed 17 timeout by increasing connection timeout to 35s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.78,observability-team
INC082,SNOW080,related_change,,Added backup OAuth provider configuration,servicenow,,infra-team
INC083,JIRA-084,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.76,search-team
INC083,SNOW081,similar_incident,Fixed 7 timeout by increasing connection timeout to 37s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.73,infra-team
INC083,SNOW082,similar_incident,Implemented 13 for automatic failover. Configured 52-node cluster with quorum of 10. Tested failover scenarios successfully.,,servicenow,0.81,api-team
INC084,SNOW083,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.85,identity-team
INC084,JIRA-085,related_change,,Added new notification templates last sprint,jira,,devops-team
INC085,SNOW084,similar_incident,Fixed 17 timeout by increasing connection timeout to 67s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.78,devops-team
INC086,SNOW085,similar_incident,Rolled back to previous 18 version to restore functionality,,servicenow,0.68,api-team
INC087,SNOW086,similar_incident,Restarted 6 pods and cleared corrupted cache layer,,servicenow,0.94,ops-team
INC087,JIRA-086,related_change,,Fluentd configuration update for new log format,jira,,dba-team
INC088,SNOW087,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 12 to 77 consumers. Backlog cleared in 7 hours.,,servicenow,0.71,security-team
INC089,SNOW088,similar_incident,Scaled up 20 instances from 78 to 6 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 4s to gatewayms average.,,servicenow,0.81,platform-team
INC089,SNOW089,similar_incident,Scaled up 16 instances from 60 to 10 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 5s to APIms average.,,servicenow,0.91,payments-team
INC089,JIRA-087,related_change,,New order notification feature deployed,jira,,payments-team
INC090,JIRA-088,similar_incident,Manually purged CDN cache and verified asset propagation,,jira,0.91,dba-team
INC091,JIRA-089,similar_incident,Increased connection pool size from 14 to 37 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.71,dba-team
INC092,SNOW090,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.73,api-team
INC092,JIRA-090,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 12 to 48 consumers. Backlog cleared in 3 hours.,,jira,0.79,devops-team
INC093,SNOW091,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.66,search-team
INC093,SNOW092,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.68,observability-team
INC094,SNOW093,similar_incident,Restarted 11 pods and cleared corrupted cache layer,,servicenow,0.92,api-team
INC094,SNOW094,similar_incident,Scaled up 20 instances from 71 to 8 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 1s to databasems average.,,servicenow,0.92,dba-team
INC094,SNOW095,similar_incident,Fixed 11 timeout by increasing connection timeout to 33s and implementing circuit breaker pattern. Also added health check monitoring.,,servicenow,0.89,devops-team
INC095,SNOW096,similar_incident,Manually purged CDN cache and verified asset propagation,,servicenow,0.81,payments-team
INC096,SNOW097,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 15 to 90 consumers. Backlog cleared in 9 hours.,,servicenow,0.69,ops-team
INC097,JIRA-091,similar_incident,Increased connection pool size from 11 to 80 connections and added exponential backoff retry logic with max 3 attempts. Monitored for 24 hours and confirmed resolution.,,jira,0.92,observability-team
INC097,SNOW098,related_change,,Added backup OAuth provider configuration,servicenow,,api-team
INC097,SNOW099,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.85,security-team
INC098,JIRA-092,similar_incident,Scaled up 14 instances from 58 to 5 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 4s to APIms average.,,jira,0.76,observability-team
INC098,SNOW100,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 11 to 51 consumers. Backlog cleared in 4 hours.,,servicenow,0.81,identity-team
INC098,SNOW101,similar_incident,Restarted 13 pods and cleared corrupted cache layer,,servicenow,0.73,api-team
INC099,JIRA-093,similar_incident,Fixed 18 timeout by increasing connection timeout to 35s and implementing circuit breaker pattern. Also added health check monitoring.,,jira,0.8,dba-team
INC100,JIRA-094,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 6 to 96 consumers. Backlog cleared in 3 hours.,,jira,0.89,infra-team
INC100,SNOW102,similar_incident,Rolled back to previous 6 version to restore functionality,,servicenow,0.92,infra-team
INC101,SNOW103,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 9 to 88 consumers. Backlog cleared in 3 hours.,,servicenow,0.95,api-team
INC102,JIRA-095,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 16 minutes.,,jira,0.79,search-team
INC103,JIRA-096,similar_incident,Restarted 18 pods and cleared corrupted cache layer,,jira,0.88,platform-team
INC104,SNOW104,similar_incident,Rolled back to previous 14 version to restore functionality,,servicenow,0.76,security-team
INC105,JIRA-097,similar_incident,Renewed SSL certificates and updated load balancer configuration,,jira,0.88,api-team
INC106,SNOW105,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 6 to 57 consumers. Backlog cleared in 5 hours.,,servicenow,0.67,security-team
INC106,JIRA-098,related_change,,New order notification feature deployed,jira,,search-team
INC106,SNOW106,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.76,api-team
INC107,SNOW107,similar_incident,Implemented 14 for automatic failover. Configured 53-node cluster with quorum of 2. Tested failover scenarios successfully.,,servicenow,0.9,dba-team
INC107,JIRA-099,related_change,,Registry storage migration performed,jira,,dba-team
INC107,JIRA-100,related_change,,Fluentd configuration update for new log format,jira,,payments-team
INC108,JIRA-101,similar_incident,Scaled up 14 instances from 48 to 10 pods and optimized query performance by adding database indexes on frequently queried columns. Response times improved from 3s to APIms average.,,jira,0.85,infra-team
INC108,SNOW108,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 8 minutes.,,servicenow,0.84,search-team
INC108,SNOW109,similar_incident,Rolled back to previous 8 version to restore functionality,,servicenow,0.78,search-team
INC109,SNOW110,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 5 to 90 consumers. Backlog cleared in 4 hours.,,servicenow,0.89,search-team
INC109,SNOW111,related_change,,Payment provider SDK upgrade deployed yesterday,servicenow,,identity-team
INC109,SNOW112,related_change,,CDN configuration update for cache TTL,servicenow,,devops-team
INC110,SNOW113,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.84,payments-team
INC110,JIRA-102,related_change,,Heavy batch job scheduled during peak hours,jira,,dba-team
INC110,SNOW114,similar_incident,Renewed SSL certificates and updated load balancer configuration,,servicenow,0.88,platform-team
INC111,SNOW115,similar_incident,Promoted replica to primary and rebuilt read replica from backup. Verified data consistency using checksums. Recovery completed within RTO of 18 minutes.,,servicenow,0.76,devops-team
INC111,SNOW116,related_change,,Added backup OAuth provider configuration,servicenow,,search-team
INC112,SNOW117,similar_incident,Scaled consumer instances and processed backlog within SLA. Increased from 13 to 41 consumers. Backlog cleared in 10 hours.,,servicenow,0.76,infra-team
